"Code produit";"GENCOD_UVC";"DATE_MAJ_PL";"notice";"global";"situ";"situ02";"pack";"pack02";"temp";"visu";"visu02";"visu03";"visu04";"visu05";"visu06";"visu07";"visu08";"pngpack";"pngdisplay";"DESIGNATION_LONGUE_FR";"DESIGNATION_LONGUE_GB";"DESIGNATION_LONGUE_ES"
"KB5669";"3561865456694";"01/12/2020";"";"https://asset.product-live.com/0a957a356c4723704d872c9ec1867897eadcce49.jpg";"https://asset.product-live.com/f65ead6d0d6242543875736b1da7c9eddd4717dd.jpg";"";"https://asset.product-live.com/b57ea623564fe4de6676b45b44343e8bcc441c26.jpg";"";"";"https://asset.product-live.com/641cb9217b1163647e7ebf7ce4c9f67a66aa4b36.jpg";"";"";"";"";"";"";"";"https://asset.product-live.com/703ec5bcff8e68bdfe6f34fe46f6a41446a72b7f.png";"";"Ce carroussel à épices construit sur 2 étages présente 16 pots ronds en verre qui vous permettront de parfumer et de relever vos préparations culinaires en toute simplicité ! Remplissez-les et profitez de ce mécanisme tournant qui vous permettra de tout trouver rapidement. Détail : Système de fermeture à double clapets (verseur-saupoudreur).";"This spice rack carousel displays all the necessary items for adding more flavour to your cooking. Practical and revolving, the 16 glass jars do not take up a lot of space and are easily accessible.";"Este carrusel para especias tiene los elementos indispensables para aromatizar y realzar sus preparaciones culinarias. Práctico y giratorio, los 16 botes de vidrio incluidos ocupan poco espacio y son fácilmente accesibles.";
"KDO8509";"3561869385099";"01/12/2020";"";"https://asset.product-live.com/39aaa78e7992b07b53ef9f20a730b3401eaae96a.jpg";"https://asset.product-live.com/3b8f7bb245c575f5dc7b26012d8adcfcfeefea70.jpg";"";"https://asset.product-live.com/5161dfb054615c9894ed3937ec52268e62bef897.jpg";"";"";"https://asset.product-live.com/c97d904de815e5dcac980ca13286a8173bf6722a.jpg";"";"";"";"";"";"";"";"https://asset.product-live.com/cf35226ebe39454e27c872e08a8b6bab1bfab43c.png";"";"Organisez une mojito party à domicile et régalez les papilles de votre invité d'honneur grâce à ce coffret ultra complet qui vous donne accès aux accessoires indispensables pour un cocktail réussi! Vous aurez droit à 12 fiches recettes pour vous guider pas à pas, lancez-vous! Détail : 2 verres à mojito de 30 cl - 4 touilleurs - 6 pailles - 1 pilon en bois - 1 moule à glace pilée en silicone - 12 fiches recettes.";"With this mojito kit, you will have the taste of the Caribbean on your lips. It contains two 30cl glasses, 6 long straws, a wooden pestle, a special crushed ice silicone mould and 12 recipe cards. You have everything you need for a successful mojito, its fresh flavours will create happy memories.";"Con este kit para mojitos se sentirá como en el Caribe. Contiene dos vasos de 30 cl, 6 pajitas grandes, una maja de madera, un molde de silicona especial para hielo picado y 12 fichas de recetas. Todo lo necesario para hacer un buen mojito\; su frescor y sus sabores acidulados son una invitación a la relajación.";
"KV7030";"3561869670300";"01/12/2020";"";"https://asset.product-live.com/4953fb6667bbf02dfe6b1e9a4f191b50a2ebdfd1.jpg";"https://asset.product-live.com/bcfd781945f6a534a950080e16da9b088622bf39.jpg";"";"https://asset.product-live.com/09be0a3fe37c716ca7b7d930afcd13362e2b878b.jpg";"";"";"https://asset.product-live.com/dac91ea46a9964fd0aef9599780c9a0406014aef.jpg";"";"";"";"";"";"";"";"https://asset.product-live.com/4e79b7c78c9df9d46ac7b1057998ed6ecf374e6e.png";"";"Vous allez adorer cette carafe à décanter qui oxygène et tempère le vin avant toute dégustation. Elégante et pratique, elle révélera la subtilité des arômes de votre vin! Contenance : 1.5 L - Composition : Verre.";"";"";
"KV7079";"3561869670799";"30/11/2020";"";"https://asset.product-live.com/074d7f9c7612bb13a96b9f2d6f31a0710a8165a3.jpg";"https://asset.product-live.com/09b9209907ce4a44b8e44070a3e61996.jpg";"https://asset.product-live.com/3fffaf82740ff6f7a5fd74b0773a72dd305cb10a.jpg";"https://asset.product-live.com/3c60deee9da5ea1f76b2794df0f7ff100da623ab.jpg";"https://asset.product-live.com/f889966dfc756cc5aa49bc0e7c067f20fdf76089.jpg";"";"https://asset.product-live.com/c92523646641f14dcab8b6e479ad2d5a2475532d.jpg";"https://asset.product-live.com/3d070e05fc47b97962455f81b6d3a2ed92071214.jpg";"";"";"";"";"";"";"https://asset.product-live.com/7dd1f4bb3f4843878388bfd6fca13fa5.png";"";"Cette fontaine en verre est l'appareil idéal pour servir vos boissons chez vous ou en extérieur pendant vos déjeuners sur l'herbe. Ce modèle astucieux au design rétro est facile d'utilisation, il séduira à coup sûr vos convives ! Pensez à apporter une touche de déco à vos verres avant de les distribuer ! Dimensions de la fontaine montée sur son support : 39 cm - Diamètre : 20 cm. Contenance : 3.75 L.";"";"";
"MG2017";"3561864220173";"01/12/2020";"";"https://asset.product-live.com/769bfdaf81f0d678a989bb1d8b4091cf2b7e15a1.jpg";"https://asset.product-live.com/51476fa9bb3f418dd9305ec37396222dc9414f5c.jpg";"";"https://asset.product-live.com/ca614529e5f7c5f44554d32f0ba6d683146758ad.JPG";"";"";"https://asset.product-live.com/16c66c3e98f4d38864b68a1404e4a10185750ba9.jpg";"";"";"";"";"";"";"";"https://asset.product-live.com/19f036ecc2feb0ab3d2c94c3953f720a.png";"";"Finissez vos soirées entre amis à jouer au billard sur la table de la salle à manger ! Ce jeu de table convivial remportera un franc succès. Détail contenu : 1 billard - 2 queues + 16 boules - 1 triangle + 1 craie bleue - Notice et règles incluses - Dimensions : 51.6x31.7x9.9 cm.";"";"";
"MG2018";"3561864220180";"01/12/2020";"";"https://asset.product-live.com/3deb7244e77cc708a3ab0633c64b514339fd9e5f.jpg";"";"";"https://asset.product-live.com/220d09dea9f42b574fcf89b12c2ca0bab9f80ca1.JPG";"";"";"https://asset.product-live.com/38846b5acb537053f6b7de09c9d3309a5032565d.jpg";"";"";"";"";"";"";"";"https://asset.product-live.com/9cb46dc1c01d020002b606bc7abe70b5069052b7.png";"";"Finissez vos soirées entre amis à jouer au baby foot sur la table de la salle à manger ! Ce jeu de table convivial remportera un franc succès et vous pourrez organiser des tournois à domicile. Détail : Notice de montage incluse - Dimensions : 51x31x10 cm.";"";"";
"RG5806";"3561867558068";"20/11/2020";"";"https://asset.product-live.com/cf6eba1893a4caad3263f0cf5ce40f62914712c6.jpg";"https://asset.product-live.com/3dc4a87dab38aaa9dd6adcd2276986de1d3e3838.jpg";"";"https://asset.product-live.com/977f69384b9fa935bc3a1475ae45522d27161015.jpg";"";"";"https://asset.product-live.com/bb3b62966b6e2e5ef452d4ebd79ddb38a6afe158.jpg";"";"";"";"";"";"";"";"https://asset.product-live.com/be8cdcd49e8d57bf29b07e22cbcc33501650ce20.png";"";"Ce portant à double tringle sera ultra-pratique pour ranger rapidement vos vêtements ! Déplacez-le en un simple geste grâce à ses roulettes et profitez de 2 barres réglables qui vous permettront de suspendre aisément vos affaires. Dimensions : 82.3x46.7x166.3 cm.";"";"";
"RG5807";"3561867558075";"01/12/2020";"";"https://asset.product-live.com/75dc8e6411047a993b75481c04f17b0f3bca40ab.jpg";"https://asset.product-live.com/3df243b8ec9b4feea13233875073ace3ba5ca5bc.jpg";"";"https://asset.product-live.com/83bf41ac81c7788cf2be54e742df8f285f2c5d81.jpg";"";"";"https://asset.product-live.com/90372fc709c2ebf19ca224e7b77f36be9908bcc1.jpg";"";"";"";"";"";"";"";"https://asset.product-live.com/9828b0acbc55436282018c232fba4ba9.png";"";"Le valet de chambre est indispensable pour optimiser le rangement de vos vêtements du quotidien! Ce modèle peu encombrant offre une bonne stabilité avec son pied lesté, il sera parfait pour maintenir vos vêtements sans un pli et à portée de main! Détail : Notice de montage incluse - Hauteur : 109 cm - Composition : Métal.";"";"";
"RG5808";"3561867558082";"19/11/2020";"";"https://asset.product-live.com/8b3bc5a696126e14b64529a5391ffd0b777f8dba.jpg";"https://asset.product-live.com/795efdfea22ce4bbfc19003f1ed7d6531476e505.jpg";"";"https://asset.product-live.com/8c7a47bc295ab2969d7b72ed4fa6d32ec877c9ac.jpg";"";"";"https://asset.product-live.com/fbeaf94f900d6913b8946b5af1579874250c9dd6.jpg";"";"";"";"";"";"";"";"https://asset.product-live.com/131e8089242d023b06331f9a6085b88755b3633f.png";"";"Disposez cette étagère métallique au niveau des toilettes de la maison, vous gagnerez des espaces de rangement ! Le modèle est stable, il offre 3 niveaux de rangement. Hauteur : 152x26x59.3 cm.";"";"";
"RG5809";"3561867558099";"27/11/2020";"";"https://asset.product-live.com/b12c17f50c7326145fc3e8a6200c93aa2742b2ad.jpg";"";"";"https://asset.product-live.com/2080b4d1cc6b6360800a436024cdea3609a3cd3a.jpg";"";"";"https://asset.product-live.com/4e807f1418b8ff886223501660db4643d2109348.jpg";"https://asset.product-live.com/68165280f5bdf07b927dbb75e71c1c712789a4b6.jpg";"";"";"";"";"";"";"https://asset.product-live.com/003e159e1170b004f8a1263640558afeb7f3ab25.png";"";"Séchez votre linge en toute décontraction sur cet étendoir modulable selon vos besoins! Cette structure légère et compacte vous permet de bénéficier d'une grande capacité de séchage pouvant aller jusqu'à 16 mètres! Découvrez 3 niveaux et 2 porte-cintres. Détail : Système pliable - Notice de montage incluse - Dimensions ouvert : 138x59x165 cm - Composition : Métal.";"";"";
